"ID";"NAME";"DESCRIPTION";"CATEGORY";"SUB_CATEGORY";"DURATION_MIN";"RECURRENCE_TYPE";"RECURRENCE_INTERVAL";"LAST_DONE_DATE";"NEXT_DUE_DATE";"PRIORITY";"STATUS";"IS_ACTIVE"
"REC049";"Dégager atelier";"Vider plan de travail atelier";"Rangement";"Atelier";"5";"daily";"1";"";"";"1";"available";"1"
"REC050";"Tri composants";"Classer et étiqueter composants";"Rangement";"Atelier";"5";"weekly";"7";"";"";"1";"available";"1"
"REC051";"Gestion câbles";"Enrouler et attacher câbles";"Rangement";"Atelier";"5";"weekly";"7";"";"";"1";"available";"1"
"REC052";"Nettoyage atelier CNC";"Aspirer copeaux autour CNC";"Nettoyage";"Atelier";"5";"weekly";"14";"";"";"1";"available";"1"
"REC053";"Protection CNC";"Dépoussiérer CNC et poser housse";"Nettoyage";"Atelier";"5";"weekly";"7";"";"";"2";"available";"1"
"REC054";"Sécurité fixations";"Vérifier étagères et ancrages";"Maintenance";"Atelier";"5";"monthly";"90";"";"";"1";"available";"1"
"REC055";"Plan travail cuisine";"Dégager plan et ranger ustensiles";"Rangement";"Cuisine";"5";"daily";"1";"";"";"1";"available";"1"
"REC056";"Égouttoir vaisselle";"Nettoyer égouttoir et ranger vaisselle";"Nettoyage";"Cuisine";"5";"daily";"1";"";"";"1";"available";"1"
"REC057";"Nettoyage crédence";"Essuyer crédence avec dégraissant";"Nettoyage";"Cuisine";"5";"weekly";"7";"";"";"2";"available";"1"
"REC058";"Détartrage évier";"Nettoyer évier et robinet";"Nettoyage";"Cuisine";"5";"daily";"1";"";"";"1";"available";"1"
"REC059";"Nettoyage plaque";"Dégraisser plaque vitrocéramique";"Nettoyage";"Cuisine";"5";"weekly";"7";"";"";"1";"available";"1"
"REC060";"Entretien poubelle";"Laver bac et couvercle";"Nettoyage";"Cuisine";"5";"weekly";"7";"";"";"1";"available";"1"
"REC061";"Sol cuisine";"Aspirer et serpiller sol cuisine";"Nettoyage";"Cuisine";"5";"weekly";"7";"";"";"1";"available";"1"
"REC062";"Dessus frigo";"Dépoussiérer dessus frigo";"Rangement";"Cuisine";"5";"weekly";"7";"";"";"2";"available";"1"
"REC063";"Portes frigo";"Nettoyer portes extérieures frigo";"Nettoyage";"Cuisine";"5";"weekly";"7";"";"";"1";"available";"1"
"REC064";"Tri épices/boîtes";"Trier et jeter périmés";"Rangement";"Cuisine";"5";"weekly";"7";"";"";"1";"available";"1"
"REC065";"Fenêtre cuisine";"Laver fenêtre cuisine";"Nettoyage";"Cuisine";"5";"weekly";"7";"";"";"3";"available";"1"
"REC066";"Façades meubles";"Essuyer portes et tiroirs";"Nettoyage";"Cuisine";"5";"weekly";"7";"";"";"2";"available";"1"
"REC067";"Entretien lave-vaisselle";"Nettoyer filtre et joints";"Maintenance";"Cuisine";"5";"daily";"1";"";"";"2";"available";"1"
"REC068";"Entretien machine à laver";"Nettoyer joint et filtre";"Maintenance";"Cuisine";"5";"weekly";"14";"";"";"2";"available";"1"
"REC069";"Tri lavabo";"Trier produits lavabo";"Rangement";"Salle de bain";"5";"weekly";"14";"";"";"1";"available";"1"
"REC070";"Miroir salle de bain";"Nettoyer miroir et luminaire";"Nettoyage";"Salle de bain";"5";"weekly";"7";"";"";"3";"available";"1"
"REC071";"Lavabo propre";"Dégraisser lavabo et bonde";"Nettoyage";"Salle de bain";"5";"weekly";"7";"";"";"1";"available";"1"
"REC072";"Détartrage robinet";"Détartrer robinet salle de bain";"Nettoyage";"Salle de bain";"5";"weekly";"7";"";"";"2";"available";"1"
"REC073";"Paniers douche";"Laver paniers d'angle douche";"Nettoyage";"Salle de bain";"5";"weekly";"7";"";"";"2";"available";"1"
"REC074";"Baignoire propre";"Récurer la baignoire";"Nettoyage";"Salle de bain";"5";"weekly";"7";"";"";"1";"available";"1"
"REC075";"Joints carrelage";"Brosser carrelage et joints";"Nettoyage";"Salle de bain";"5";"weekly";"7";"";"";"1";"available";"1"
"REC076";"Sol salle de bain";"Aspirer et laver sol SDB";"Nettoyage";"Salle de bain";"5";"daily";"1";"";"";"1";"available";"1"
"REC077";"Portes salle de bain";"Nettoyer portes et poignées";"Nettoyage";"Salle de bain";"5";"weekly";"7";"";"";"2";"available";"1"
"REC078";"Réparation mur";"Préparer réparation mur SDB";"Maintenance";"Salle de bain";"5";"weekly";"14";"";"";"1";"available";"1"
"REC079";"Armoire WC";"Organiser produits WC";"Rangement";"WC";"5";"weekly";"7";"";"";"2";"available";"1"
"REC080";"Brosse WC neuve";"Installer nouvelle brosse WC";"Maintenance";"WC";"5";"weekly";"7";"";"";"1";"available";"1"
"REC081";"Détartrage WC";"Nettoyer cuvette et détartrer";"Nettoyage";"WC";"5";"weekly";"14";"";"";"1";"available";"1"
"REC082";"Placard entrée";"Dépoussiérer placard entrée";"Rangement";"Entrée";"5";"weekly";"14";"";"";"1";"available";"1"
"REC083";"Tri chaussures";"Trier et jeter chaussures usées";"Rangement";"Entrée";"5";"monthly";"30";"";"";"1";"available";"1"
"REC084";"Organisation entrée";"Ranger accessoires entrée";"Rangement";"Entrée";"5";"weekly";"7";"";"";"1";"available";"1"
"REC085";"Sol entrée";"Aspirer et laver sol entrée";"Nettoyage";"Entrée";"5";"weekly";"7";"";"";"1";"available";"1"
"REC086";"Litière propre";"Laver bac litière et recharger";"Nettoyage";"Balcon";"5";"weekly";"7";"";"";"1";"available";"1"
"REC087";"Sol balcon";"Balayer et laver sol balcon";"Nettoyage";"Balcon";"5";"weekly";"7";"";"";"1";"available";"1"
"REC088";"Mobilier balcon";"Essuyer table, chaises et vélo";"Nettoyage";"Balcon";"5";"weekly";"7";"";"";"2";"available";"1"
"REC089";"Rideau douche";"Laver rideau de douche";"Nettoyage";"Salle de bain";"5";"daily";"1";"";"";"1";"available";"1"
"REC090";"Filtres ventilation";"Nettoyer filtres ventilateur";"Maintenance";"Séjour";"5";"weekly";"14";"";"";"1";"available";"1"
