"TASK_ID";"TASK_NAME";"DATE";"PLANNED_TIME";"DAY_OF_WEEK";"WEEK_TYPE";"MOOD";"ENERGY";"WEATHER";"SEASON";"EXPORT_TIMESTAMP"
"REC010";"Réviser factures";"2025-11-01";"08:25";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC021";"Douche matinale";"2025-11-01";"08:55";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC022";"Manucure";"2025-11-01";"09:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC025";"Brossage dentaire";"2025-11-01";"10:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC026";"Jeu avec Gigi";"2025-11-01";"10:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC027";"Jeu avec Coco";"2025-11-01";"11:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC028";"Pédicure ongles";"2025-11-01";"11:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC029";"Pesée santé";"2025-11-01";"12:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC032";"Étirement cuisses";"2025-11-01";"12:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC037";"Brossage Gigi";"2025-11-01";"13:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC038";"Brossage Coco";"2025-11-01";"13:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC059";"Nettoyage plaque";"2025-11-01";"14:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC061";"Sol cuisine";"2025-11-01";"14:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC062";"Dessus frigo";"2025-11-01";"15:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC069";"Tri lavabo";"2025-11-01";"15:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC070";"Miroir salle de bain";"2025-11-01";"16:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC064";"Tri épices/boîtes";"2025-11-01";"16:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC076";"Sol salle de bain";"2025-11-01";"17:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC056";"Égouttoir vaisselle";"2025-11-01";"17:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC041";"Tri vêtements";"2025-11-01";"18:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC042";"Tri vrac";"2025-11-01";"18:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC043";"Dégager canapé";"2025-11-01";"19:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC025";"Brossage dentaire";"2025-11-01";"19:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC015";"Laver gamelles animaux";"2025-11-01";"20:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC011";"Nettoyer frigo";"2025-11-01";"20:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC001";"Arroser les plantes";"2025-11-01";"21:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC023";"Révision Anki";"2025-11-01";"21:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC026";"Jeu avec Gigi";"2025-11-01";"22:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC027";"Jeu avec Coco";"2025-11-01";"22:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC026";"Jeu avec Gigi";"2025-11-01";"23:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC027";"Jeu avec Coco";"2025-11-01";"23:35";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC034";"Rotation épaules";"2025-11-01";"24:05";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC036";"Coiffure et barbe";"2025-11-01";"24:10";"5";"";"";"";"";"";"2025-10-31T21:27:41.725685"
"REC001";"Arroser les plantes";"2024-10-31";"06:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC002";"Nettoyer caisse chat";"2024-10-31";"06:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC003";"Changer les draps";"2024-10-31";"07:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC006";"Nettoyer la cuisine";"2024-10-31";"07:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC007";"Nettoyer lavabo";"2024-10-31";"08:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC004";"Aspirer salon";"2024-10-31";"08:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC005";"Sortir les poubelles";"2024-10-31";"09:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC010";"Réviser factures";"2024-10-31";"09:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC026";"Jeu avec Gigi";"2024-10-31";"10:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC027";"Jeu avec Coco";"2024-10-31";"10:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC008";"Faire les courses";"2024-10-31";"11:30";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC025";"Brossage dentaire";"2024-10-31";"12:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC011";"Nettoyer frigo";"2024-10-31";"12:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC015";"Laver gamelles animaux";"2024-10-31";"13:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC021";"Douche matinale";"2024-10-31";"14:00";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC022";"Manucure";"2024-10-31";"14:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC023";"Révision Anki";"2024-10-31";"15:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC028";"Pédicure ongles";"2024-10-31";"15:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC029";"Pesée santé";"2024-10-31";"16:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC032";"Étirement cuisses";"2024-10-31";"16:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC001";"Arroser les plantes";"2024-10-31";"17:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC002";"Nettoyer caisse chat";"2024-10-31";"17:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC003";"Changer les draps";"2024-10-31";"18:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC006";"Nettoyer la cuisine";"2024-10-31";"18:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC007";"Nettoyer lavabo";"2024-10-31";"19:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC004";"Aspirer salon";"2024-10-31";"19:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC005";"Sortir les poubelles";"2024-10-31";"20:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC010";"Réviser factures";"2024-10-31";"20:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC026";"Jeu avec Gigi";"2024-10-31";"21:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC027";"Jeu avec Coco";"2024-10-31";"21:55";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC008";"Faire les courses";"2024-10-31";"22:30";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC025";"Brossage dentaire";"2024-10-31";"23:25";"3";"";"";"";"";"";"2025-10-31T22:35:17.765950"
"REC026";"Jeu avec Gigi";"2025-11-01";"07:10";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC027";"Jeu avec Coco";"2025-11-01";"07:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC034";"Rotation épaules";"2025-11-01";"08:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC036";"Coiffure et barbe";"2025-11-01";"08:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC037";"Brossage Gigi";"2025-11-01";"09:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC038";"Brossage Coco";"2025-11-01";"09:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC041";"Tri vêtements";"2025-11-01";"10:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC042";"Tri vrac";"2025-11-01";"10:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC043";"Dégager canapé";"2025-11-01";"11:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC056";"Égouttoir vaisselle";"2025-11-01";"11:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC059";"Nettoyage plaque";"2025-11-01";"12:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC061";"Sol cuisine";"2025-11-01";"12:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC062";"Dessus frigo";"2025-11-01";"13:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC064";"Tri épices/boîtes";"2025-11-01";"13:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC069";"Tri lavabo";"2025-11-01";"14:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC070";"Miroir salle de bain";"2025-11-01";"14:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC076";"Sol salle de bain";"2025-11-01";"15:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC025";"Brossage dentaire";"2025-11-01";"15:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC001";"Arroser les plantes";"2025-11-01";"16:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC002";"Nettoyer caisse chat";"2025-11-01";"16:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC026";"Jeu avec Gigi";"2025-11-01";"17:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC027";"Jeu avec Coco";"2025-11-01";"17:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC034";"Rotation épaules";"2025-11-01";"18:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC036";"Coiffure et barbe";"2025-11-01";"18:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC037";"Brossage Gigi";"2025-11-01";"19:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC038";"Brossage Coco";"2025-11-01";"19:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC041";"Tri vêtements";"2025-11-01";"20:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC042";"Tri vrac";"2025-11-01";"20:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC043";"Dégager canapé";"2025-11-01";"21:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC056";"Égouttoir vaisselle";"2025-11-01";"21:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC059";"Nettoyage plaque";"2025-11-01";"22:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC061";"Sol cuisine";"2025-11-01";"22:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC062";"Dessus frigo";"2025-11-01";"23:15";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC064";"Tri épices/boîtes";"2025-11-01";"23:45";"5";"";"";"";"";"";"2025-10-31T23:06:32.362637"
"REC026";"Jeu avec Gigi";"2025-11-01";"07:10";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC027";"Jeu avec Coco";"2025-11-01";"07:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC034";"Rotation épaules";"2025-11-01";"08:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC036";"Coiffure et barbe";"2025-11-01";"08:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC037";"Brossage Gigi";"2025-11-01";"09:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC038";"Brossage Coco";"2025-11-01";"09:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC041";"Tri vêtements";"2025-11-01";"10:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC042";"Tri vrac";"2025-11-01";"10:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC043";"Dégager canapé";"2025-11-01";"11:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC056";"Égouttoir vaisselle";"2025-11-01";"11:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC059";"Nettoyage plaque";"2025-11-01";"12:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC061";"Sol cuisine";"2025-11-01";"12:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC062";"Dessus frigo";"2025-11-01";"13:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC064";"Tri épices/boîtes";"2025-11-01";"13:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC069";"Tri lavabo";"2025-11-01";"14:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC070";"Miroir salle de bain";"2025-11-01";"14:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC076";"Sol salle de bain";"2025-11-01";"15:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC025";"Brossage dentaire";"2025-11-01";"15:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC001";"Arroser les plantes";"2025-11-01";"16:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC002";"Nettoyer caisse chat";"2025-11-01";"16:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC026";"Jeu avec Gigi";"2025-11-01";"17:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC027";"Jeu avec Coco";"2025-11-01";"17:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC034";"Rotation épaules";"2025-11-01";"18:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC036";"Coiffure et barbe";"2025-11-01";"18:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC037";"Brossage Gigi";"2025-11-01";"19:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC038";"Brossage Coco";"2025-11-01";"19:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC041";"Tri vêtements";"2025-11-01";"20:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC042";"Tri vrac";"2025-11-01";"20:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC043";"Dégager canapé";"2025-11-01";"21:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC056";"Égouttoir vaisselle";"2025-11-01";"21:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC059";"Nettoyage plaque";"2025-11-01";"22:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC061";"Sol cuisine";"2025-11-01";"22:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC062";"Dessus frigo";"2025-11-01";"23:15";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC064";"Tri épices/boîtes";"2025-11-01";"23:45";"5";"";"";"";"";"";"2025-10-31T23:10:03.381394"
"REC026";"Jeu avec Gigi";"2025-11-01";"07:10";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC027";"Jeu avec Coco";"2025-11-01";"07:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC034";"Rotation épaules";"2025-11-01";"08:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC036";"Coiffure et barbe";"2025-11-01";"08:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC037";"Brossage Gigi";"2025-11-01";"09:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC038";"Brossage Coco";"2025-11-01";"09:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC041";"Tri vêtements";"2025-11-01";"10:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC042";"Tri vrac";"2025-11-01";"10:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC043";"Dégager canapé";"2025-11-01";"11:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC056";"Égouttoir vaisselle";"2025-11-01";"11:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC059";"Nettoyage plaque";"2025-11-01";"12:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC061";"Sol cuisine";"2025-11-01";"12:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC062";"Dessus frigo";"2025-11-01";"13:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC064";"Tri épices/boîtes";"2025-11-01";"13:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC069";"Tri lavabo";"2025-11-01";"14:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC070";"Miroir salle de bain";"2025-11-01";"14:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC076";"Sol salle de bain";"2025-11-01";"15:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC025";"Brossage dentaire";"2025-11-01";"15:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC001";"Arroser les plantes";"2025-11-01";"16:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC002";"Nettoyer caisse chat";"2025-11-01";"16:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC026";"Jeu avec Gigi";"2025-11-01";"17:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC027";"Jeu avec Coco";"2025-11-01";"17:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC034";"Rotation épaules";"2025-11-01";"18:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC036";"Coiffure et barbe";"2025-11-01";"18:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC037";"Brossage Gigi";"2025-11-01";"19:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC038";"Brossage Coco";"2025-11-01";"19:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC041";"Tri vêtements";"2025-11-01";"20:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC042";"Tri vrac";"2025-11-01";"20:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC043";"Dégager canapé";"2025-11-01";"21:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC056";"Égouttoir vaisselle";"2025-11-01";"21:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC059";"Nettoyage plaque";"2025-11-01";"22:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC061";"Sol cuisine";"2025-11-01";"22:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC062";"Dessus frigo";"2025-11-01";"23:15";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC064";"Tri épices/boîtes";"2025-11-01";"23:45";"5";"";"";"";"";"";"2025-10-31T23:15:52.982974"
"REC026";"Jeu avec Gigi";"2025-11-01";"06:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC027";"Jeu avec Coco";"2025-11-01";"07:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC034";"Rotation épaules";"2025-11-01";"07:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC036";"Coiffure et barbe";"2025-11-01";"08:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC037";"Brossage Gigi";"2025-11-01";"08:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC038";"Brossage Coco";"2025-11-01";"09:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC041";"Tri vêtements";"2025-11-01";"09:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC042";"Tri vrac";"2025-11-01";"10:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC043";"Dégager canapé";"2025-11-01";"10:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC056";"Égouttoir vaisselle";"2025-11-01";"11:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC059";"Nettoyage plaque";"2025-11-01";"11:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC061";"Sol cuisine";"2025-11-01";"12:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC062";"Dessus frigo";"2025-11-01";"12:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC064";"Tri épices/boîtes";"2025-11-01";"13:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC069";"Tri lavabo";"2025-11-01";"13:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC070";"Miroir salle de bain";"2025-11-01";"14:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC076";"Sol salle de bain";"2025-11-01";"14:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC025";"Brossage dentaire";"2025-11-01";"15:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC001";"Arroser les plantes";"2025-11-01";"15:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC002";"Nettoyer caisse chat";"2025-11-01";"16:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC026";"Jeu avec Gigi";"2025-11-01";"16:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC027";"Jeu avec Coco";"2025-11-01";"17:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC034";"Rotation épaules";"2025-11-01";"17:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC036";"Coiffure et barbe";"2025-11-01";"18:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC037";"Brossage Gigi";"2025-11-01";"18:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC038";"Brossage Coco";"2025-11-01";"19:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC041";"Tri vêtements";"2025-11-01";"19:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC042";"Tri vrac";"2025-11-01";"20:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC043";"Dégager canapé";"2025-11-01";"20:55";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
"REC056";"Égouttoir vaisselle";"2025-11-01";"21:25";"5";"";"";"";"";"";"2025-10-31T23:17:55.223751"
