"ID";"NAME";"DATE";"HEURE_DEBUT";"HEURE_FIN";"DURATION_MIN";"KIND";"ORIGINAL_TIME"
"3";"debugger gitfocus web";"2025-11-01";"20:00";"20:25";"25";"pomodoro";""
"REC042";"Tri vrac";"2025-11-01";"20:25";"20:30";"5";"recurrent";""
"2";"fabriquer les cloches";"2025-11-01";"20:30";"20:55";"25";"pomodoro";""
"REC043";"Dégager canapé";"2025-11-01";"20:55";"21:00";"5";"recurrent";""
"2";"fabriquer les cloches";"2025-11-01";"21:00";"21:25";"25";"pomodoro";""
"REC056";"Égouttoir vaisselle";"2025-11-01";"21:25";"21:30";"5";"recurrent";""
"2";"fabriquer les cloches";"2025-11-01";"21:30";"21:55";"25";"pomodoro";""
"REC059";"Nettoyage plaque";"2025-11-01";"21:55";"22:00";"5";"recurrent";""
"2";"fabriquer les cloches";"2025-11-01";"22:00";"22:25";"25";"pomodoro";""
"REC061";"Sol cuisine";"2025-11-01";"22:25";"22:30";"5";"recurrent";""
"2";"fabriquer les cloches";"2025-11-01";"22:30";"22:55";"25";"pomodoro";""
"REC062";"Dessus frigo";"2025-11-01";"22:55";"23:00";"5";"recurrent";""
"2";"fabriquer les cloches";"2025-11-01";"23:00";"23:25";"25";"pomodoro";""
"REC064";"Tri épices/boîtes";"2025-11-01";"23:25";"23:30";"5";"recurrent";""
"2";"fabriquer les cloches";"2025-11-01";"23:30";"23:55";"25";"pomodoro";""
"2";"fabriquer les cloches";"2025-11-02";"06:30";"06:55";"25";"pomodoro";""
"REC027";"Jeu avec Coco";"2025-11-02";"06:55";"07:00";"5";"recurrent";""
