ID;NAME;DESCRIPTION;CATEGORY;SUB_CATEGORY;DURATION_MIN;REMAINING_MIN;PRIORITY;TAGS;KEYWORDS;DEPENDENCIES;NOTES;DEADLINE;FIXED_START;PLANNED_START;STATUS
153;Routine jardin 19.12 FLO;1. Observation floraison + trichomes (5 min) - 2. Mesure EC/pH (2 min) - 3. SOIR: Remplissage 90L + 260ml A + 260ml B + 225ml Cannazym pH 5.8 EC 2.6-2.8 (12 min);Jardinage;Floraison;19;19;2;quotidien,hydro;jardin,reservoir;;;;;19.12.25 08:00;available
154;Routine jardin 20.12 FLO;1. Observation maturation + trichomes (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;20.12.25 08:00;available
155;Routine jardin 21.12 FLO;1. Observation maturation + trichomes (5 min) - 2. Mesure EC/pH système hydro (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;21.12.25 08:00;available
156;Routine jardin 22.12 FLO;1. Observation maturation + trichomes (5 min) - 2. Mesure EC/pH (2 min) - 3. Inspection goutteurs (3 min) - 4. DÉCISION RINÇAGE: Si 30%+ laiteux commencer rinçage - 5. Remplissage 90L: OPTION A eau pure pH 5.8 rinçage OU OPTION B 260ml A+B+Cannazym selon trichomes (12 min);Jardinage;Floraison;22;22;1;critique,decision;jardin,trichomes,reservoir;155;DÉCISION basée trichomes;22.12.25;;22.12.25 08:00;available
157;Routine jardin 23.12 FLO;1. Observation maturation + trichomes (5 min) - 2. Mesure pH système (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;23.12.25 08:00;available
158;Routine jardin 24.12 FLO;1. Observation maturation + trichomes détaillée (5 min) - 2. Mesure pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;24.12.25 08:00;available
159;Routine jardin 25.12 FLO;1. Observation maturation + trichomes cible 70% laiteux + 20-30% ambrés (5 min) - 2. Mesure pH (2 min) - 3. Remplissage 90L eau pure pH 5.8 RINÇAGE 0ml engrais (12 min);Jardinage;Floraison;19;19;2;quotidien,hydro;jardin,rincage;;Matinée Noël;25.12.25;;25.12.25 09:00;available
160;Routine jardin 26.12 FLO;1. Observation maturation + trichomes (5 min) - 2. Mesure pH (2 min) - 3. Inspection goutteurs bouchage (3 min);Jardinage;Floraison;10;10;2;quotidien,hydro;jardin,observation,goutteurs;;;;;26.12.25 08:00;available
161;Routine jardin 27.12 FLO;1. Observation maturation + trichomes (5 min) - 2. Mesure pH système (2 min);Jardinage;Floraison;7;7;2;quotidien,hydro;jardin,observation;;;;;27.12.25 08:00;available
162;Routine jardin 28.12 FLO;1. Observation maturation + trichomes (5 min) - 2. Mesure pH (2 min) - 3. Inspection goutteurs (3 min) - 4. DÉCISION RÉCOLTE: Si 70%+ laiteux + 20-30% ambrés = GO arrêt goutte-à-goutte - 5. Remplissage 90L eau pure pH 5.8 RINÇAGE (12 min);Jardinage;Floraison;22;22;1;critique,decision;jardin,trichomes,recolte;161;DÉCISION basée trichomes;28.12.25;;28.12.25 08:00;available
163;RÉCOLTE COMPLÈTE 29.12;HYGROMÉTRIE: régler à 50-60% (séchage optimal) - Arrêt goutte-à-goutte depuis hier soir - 1. Coupe base 32 plantes (120 min) - 2. Accrochage têtes en bas (60 min) - 3. Installation séchage 18-20°C 50-60% humidité obscurité (30 min);Jardinage;Récolte;210;210;1;critique,recolte;sechage,installation;162;MATIN avant allumage lampes;29.12.25;;29.12.25 07:00;available
164;Manucure trim humide 29.12;Trim à frais (wet trim) si souhaité - OPTIONNEL selon préférence;Jardinage;Récolte;180;180;2;optionnel,trim;manucure;163;OPTIONNEL - après-midi si énergie;;;29.12.25 14:00;available
165;Vérifications séchage 30.12-05.01;HYGROMÉTRIE: maintenir 50-60% - 1. Contrôle quotidien température 18-20°C (2 min) - 2. Contrôle humidité 50-60% (2 min) - 3. Contrôle obscurité + état têtes (2 min) - Répéter chaque jour;Jardinage;Récolte;6;6;2;quotidien,sechage;controle,temperature;;7 jours consécutifs: 30.12, 31.12, 01.01, 02.01, 03.01, 04.01, 05.01;;;30.12.25 08:00;available
166;Vérification séchage 05.01 J+7;1. Contrôle température + humidité (4 min) - 2. TEST TIGES: si craquent = prêt pour bocaux (2 min);Jardinage;Récolte;6;6;2;quotidien,sechage;controle,test;;Test tiges craquent;;;05.01.26 08:00;available
167;Vérifications séchage 06.01-11.01;1. Contrôle quotidien température + humidité (4 min) - 2. Test tiges (2 min) - Répéter chaque jour;Jardinage;Récolte;6;6;2;quotidien,sechage;controle,test;;6 jours: 06.01, 07.01, 08.01, 09.01, 10.01, 11.01;;;06.01.26 08:00;available
168;Vérification séchage 12.01 J+14;1. Contrôle température + humidité (4 min) - 2. Test tiges (2 min) - 3. DÉCISION mise en bocaux si tiges craquent;Jardinage;Récolte;6;6;2;quotidien,sechage;controle,decision;167;DÉCISION bocaux;;;12.01.26 08:00;available
169;Mise en bocaux curing 12.01;HYGROMÉTRIE bocaux: 58-62% (dans bocaux hermétiques) - 1. Trim final si pas fait (60 min) - 2. Mise en bocaux hermétiques pour curing (60 min) - Début burping quotidien;Jardinage;Récolte;120;120;2;ponctuel,curing;bocaux,conservation;168;Après DÉCISION tiges OK;;;12.01.26 09:00;available
170;Burping bocaux 13.01-19.01;Ouvrir bocaux 15min pour évacuation humidité - Répéter quotidien;Jardinage;Récolte;2;2;2;quotidien,curing;bocaux,burping;;7 jours: 13.01, 14.01, 15.01, 16.01, 17.01, 18.01, 19.01;;;13.01.26 08:00;available
171;Burping bocaux 20.01-26.01;Ouvrir bocaux 10min réduire fréquence - Répéter quotidien;Jardinage;Récolte;2;2;2;quotidien,curing;bocaux,burping;;7 jours: 20.01, 21.01, 22.01, 23.01, 24.01, 25.01, 26.01;;;20.01.26 08:00;available
172;Vérification finale curing 27.01;Contrôle qualité + humidité stabilisée = FIN CURING prêt à consommer;Jardinage;Récolte;10;10;2;ponctuel,fin;curing,qualite;171;FIN CURING - Prêt;27.01.26;;27.01.26 08:00;available
